name,charterer,model,cabins,max_pax,toilets,length,beam,draft,sail_area,engine,water_tank,fuel_tank,location,URL,year_of_built,march,april,may,june,july,august,september,october,november
Adriatic expert,Kufner,D&D Kufner 54,5,12,4,16.3,4.95,2.5,7570.0,Yanmar 110 HP direct shaft,800,250,Marina Kornati Biograd,https://nautika-kufner.hr/listings/adriatic-expert/,2018,2300.0,2300.0,2800.0,4200.0,5400.0,5800.0,4800.0,2300.0,2300.0
Amarone,Free-Wave,Hanse 505,5,11,3,15.4,4.75,2.38,129.0,Volvo Penta 53 kW/72 hp,650,300,Trogir (Seget Marina Baotic),https://www.free-wave.at/yacht/hanse-505-amarone/,2017,1900.0,2150.0,2900.0,4150.0,4800.0,4800.0,4150.0,2150.0,1900.0
Barbera,Free-Wave,Bavaria 37 cruiser,3,8,1,11.3,3.67,1.95,65.0,"20,9 kW / 28 hp",210,150,Trogir (Seget Marina Baotic),https://www.free-wave.at/yacht/bavaria-37-cruiser-barbera/,,,,,,,,,,
Bardolino,Free-Wave,Bavaria 46 cruiser,4,9,3,14.27,4.35,2.1,108.0,Volvo penta 41 kW/55 hp,360,210,Trogir (Seget Marina Baotic),https://www.free-wave.at/yacht/bavaria-46-cruiser-bardolino/,2017,1400.0,1750.0,2150.0,3300.0,3900.0,3900.0,3300.0,1750.0,1400.0
Barrique,Free-Wave,Dufour 460 GL ,5,12,3,14.15,4.5,1.95,99.8,"Volvo Penta 60,00 hp",530,250,Trogir (Seget Marina Baotic),https://www.free-wave.at/yacht/dufour-460-gl-barrique/,2019,1800.0,2100.0,2800.0,3900.0,4550.0,4550.0,3900.0,2100.0,1800.0
Beaujolais,Free-Wave,Sun Odyssey 449,4,10,2,13.76,4.24,1.6,91.0,Yanmar diesel 40 kW/54 hp,330,200,Trogir (Seget Marina Baotic),https://www.free-wave.at/yacht/sun-odyssey-449-beaujolais/,2017,1400.0,1750.0,2150.0,3300.0,3900.0,3900.0,3300.0,1750.0,1400.0
Bianco,Free-Wave,DD Kufner 50,5,12,3,15.2,4.75,2.32,118.0,"Yanmar diesel 80,00 hp",680,204,Trogir (Seget Marina Baotic),https://www.free-wave.at/yacht/dd-kufner-50-bianco/,2022,2100.0,2300.0,3200.0,4400.0,5100.0,5100.0,4400.0,2300.0,2100.0
Bibi,Free-Wave,Dufour 430 GL ,4,8,2,13.24,4.3,2.1,92.0,50 cv (60 cv opt.),430,250,Trogir (Seget Marina Baotic),https://www.free-wave.at/yacht/dufour-430-gl-bibi/,2019,1400.0,1750.0,2150.0,3400.0,3900.0,3900.0,3400.0,1750.0,1400.0
Bordeaux,Free-Wave,Oceanis 38.1,3,8,2,11.5,3.99,1.64,65.7,"Yanmar 40,00 hp",200,130,Trogir (Seget Marina Baotic),https://www.free-wave.at/yacht/oceanis-38-1-bordeaux/,2019,1050.0,1300.0,1800.0,2550.0,2975.0,2975.0,2550.0,1300.0,1050.0
Brunello,Free-Wave,Jeanneau Sun Odyssey 439,4,10,2,13.34,4.24,2.2,91.0,Yanmar diesel 40 kW/54 hp,330,200,Trogir (Seget Marina Baotic),https://www.free-wave.at/yacht/jeanneau-sun-odyssey-439-brunello/,,,,,,,,,,
Cabernet,Kufner,D&D Kufner 54,5,12,4,16.3,4.95,2.5,7570.0,Yanmar 110 HP direct drive,800,250,Marina Kornati Biograd,https://nautika-kufner.hr/listings/cabernet/,2016,1900.0,1900.0,2400.0,3500.0,4500.0,4500.0,4000.0,1900.0,1900.0
